1.285	-5748
1.29	-2109
1.295	1531
1.3	5126
1.305	8634
1.31	12014
1.315	15230
1.32	18247
1.325	21035
1.33	23567
1.335	25820
1.34	27776
1.345	29420
1.35	30742
1.355	31734
1.36	32395
1.365	32725
1.37	32728
1.375	32412
1.38	31788
1.385	30869
1.39	29670
1.395	28210
1.4	26509
1.405	24587
1.41	22468
1.415	20175
1.42	17731
1.425	15162
1.43	12492
1.435	9745
1.44	6947
1.445	4120
1.45	1286
1.455	-1531
1.46	-4311
1.465	-7035
1.47	-9684
1.475	-12242
1.48	-14692
1.485	-17022
1.49	-19218
1.495	-21271
1.5	-23170
1.505	-24908
1.51	-26479
1.515	-27878
1.52	-29102
1.525	-30148
1.53	-31017
1.535	-31709
1.54	-32225
1.545	-32568
1.55	-32742
1.555	-32751
1.56	-32602
1.565	-32299
1.57	-31850
1.575	-31261
1.58	-30541
1.585	-29698
1.59	-28739
1.595	-27673
1.6	-26509
1.605	-25256
1.61	-23921
1.615	-22515
1.62	-21045
1.625	-19519
1.63	-17947
1.635	-16335
1.64	-14692
1.645	-13025
1.65	-11341
1.655	-9647
1.66	-7949
1.665	-6254
1.67	-4566
1.675	-2891
1.68	-1235
1.685	399
1.69	2006
1.695	3583
1.7	5126
1.705	6632
1.71	8099
1.715	9524
1.72	10905
1.725	12242
1.73	13531
1.735	14773
1.74	15966
1.745	17110
1.75	18204
1.755	19250
1.76	20245
1.765	21192
1.77	22091
1.775	22941
1.78	23745
1.785	24502
1.79	25215
1.795	25883
1.8	26509
1.805	27094
1.81	27638
1.815	28145
1.82	28614
1.825	29048
1.83	29448
1.835	29816
1.84	30153
1.845	30461
1.85	30742
1.855	30996
1.86	31226
1.865	31433
1.87	31619
1.875	31785
1.88	31932
1.885	32063
1.89	32177
1.895	32277
1.9	32364
1.905	32438
1.91	32502
1.915	32556
1.92	32602
1.925	32639
1.93	32670
1.935	32695
1.94	32715
1.945	32730
1.95	32742
1.955	32750
1.96	32757
1.965	32761
1.97	32764
1.975	32765
1.98	32766
1.985	32767
1.99	32767
1.995	32767
2	32767
2.005	32767
2.01	32767
2.015	32767
2.02	32766
2.025	32765
2.03	32764
2.035	32761
2.04	32757
2.045	32750
2.05	32742
2.055	32730
2.06	32715
2.065	32695
2.07	32670
2.075	32639
2.08	32602
2.085	32556
2.09	32502
2.095	32438
2.1	32364
2.105	32277
2.11	32177
2.115	32063
2.12	31932
2.125	31785
2.13	31619
2.135	31433
2.14	31226
2.145	30996
2.15	30742
2.155	30461
2.16	30153
2.165	29816
2.17	29448
2.175	29048
2.18	28614
2.185	28145
2.19	27638
2.195	27094
2.2	26509
2.205	25883
2.21	25215
2.215	24502
2.22	23745
2.225	22941
2.23	22091
2.235	21192
2.24	20245
2.245	19250
2.25	18204
2.255	17110
2.26	15966
2.265	14773
2.27	13531
2.275	12242
2.28	10905
2.285	9524
2.29	8099
2.295	6632
2.3	5126
2.305	3583
2.31	2006
2.315	399
2.32	-1235
2.325	-2891
2.33	-4566
2.335	-6254
2.34	-7949
2.345	-9647
2.35	-11341
2.355	-13025
2.36	-14692
2.365	-16335
2.37	-17947
2.375	-19519
2.38	-21045
2.385	-22515
2.39	-23921
2.395	-25256
2.4	-26509
2.405	-27673
2.41	-28739
2.415	-29698
2.42	-30541
2.425	-31261
2.43	-31850
2.435	-32299
2.44	-32602
2.445	-32751
2.45	-32742
2.455	-32568
2.46	-32225
2.465	-31709
2.47	-31017
2.475	-30148
2.48	-29102
2.485	-27878
2.49	-26479
2.495	-24908
2.5	-23170
2.505	-21271
2.51	-19218
2.515	-17022
2.52	-14692
2.525	-12242
2.53	-9684
2.535	-7035
2.54	-4311
2.545	-1531
2.55	1286
2.555	4120
2.56	6947
2.565	9745
2.57	12492
2.575	15162
2.58	17731
2.585	20175
2.59	22468
2.595	24587
2.6	26509
2.605	28210
2.61	29670
2.615	30869
2.62	31788
2.625	32412
2.63	32728
2.635	32725
2.64	32395
2.645	31734
2.65	30742
2.655	29420
2.66	27776
2.665	25820
2.67	23567
2.675	21035
2.68	18247
2.685	15230
2.69	12014
2.695	8634
2.7	5126
2.705	1531
2.71	-2109
2.715	-5748
2.72	-9339
2.725	-12836
2.73	-16190
2.735	-19354
2.74	-22280
2.745	-24925
2.75	-27245
2.755	-29201
2.76	-30759
2.765	-31888
2.77	-32563
2.775	-32765
2.78	-32482
2.785	-31709
2.79	-30447
2.795	-28708
2.8	-26509
2.805	-23877
2.81	-20847
2.815	-17460
2.82	-13765
2.825	-9819
2.83	-5684
2.835	-1428
2.84	2879
2.845	7160
2.85	11341
2.855	15344
2.86	19093
2.865	22515
2.87	25540
2.875	28105
2.88	30153
2.885	31636
2.89	32515
2.895	32763
2.9	32364
2.905	31315
2.91	29627
2.915	27323
2.92	24442
2.925	21035
2.93	17165
2.935	12907
2.94	8348
2.945	3583
2.95	-1286
2.955	-6153
2.96	-10905
2.965	-15435
2.97	-19633
2.975	-23396
2.98	-26630
2.985	-29248
2.99	-31179
2.995	-32366
3	-32767
3.005	-32362
3.01	-31147
3.015	-29143
3.02	-26388
3.025	-22941
3.03	-18883
3.035	-14311
3.04	-9339
3.045	-4094
3.05	1286
3.055	6657
3.06	11871
3.065	16779
3.07	21241
3.075	25124
3.08	28308
3.085	30692
3.09	32196
3.095	32763
3.1	32364
3.105	30996
3.11	28689
3.115	25500
3.12	21514
3.125	16846
3.13	11630
3.135	6026
3.14	206
3.145	-5646
3.15	-11341
3.155	-16691
3.16	-21514
3.165	-25645
3.17	-28934
3.175	-31261
3.18	-32534
3.185	-32695
3.19	-31725
3.195	-29643
3.2	-26509
3.205	-22421
3.21	-17514
3.215	-11955
3.22	-5938
3.225	322
3.23	6594
3.235	12646
3.24	18247
3.245	23179
3.25	27245
3.255	30278
3.26	32147
3.265	32767
3.27	32097
3.275	30148
3.28	26985
3.285	22720
3.29	17514
3.295	11570
3.3	5126
3.305	-1556
3.31	-8199
3.315	-14519
3.32	-20245
3.325	-25124
3.33	-28934
3.335	-31498
3.34	-32689
3.345	-32438
3.35	-30742
3.355	-27659
3.36	-23315
3.365	-17893
3.37	-11630
3.375	-4808
3.38	2263
3.385	9253
3.39	15831
3.395	21679
3.4	26509
3.405	30077
3.41	32196
3.415	32747
3.42	31686
3.425	29048
3.43	24950
3.435	19581
3.44	13202
3.445	6127
3.45	-1286
3.455	-8659
3.46	-15605
3.465	-21756
3.47	-26779
3.475	-30394
3.48	-32395
3.485	-32657
3.49	-31147
3.495	-27932
3.5	-23170
3.505	-17110
3.51	-10077
3.515	-2455
3.52	5329
3.525	12836
3.53	19633
3.535	25321
3.54	29560
3.545	32089
3.55	32742
3.555	31462
3.56	28308
3.565	23450
3.57	17165
3.575	9819
3.58	1852
3.585	-6254
3.59	-13998
3.595	-20896
3.6	-26509
3.605	-30471
3.61	-32515
3.615	-32494
3.62	-30390
3.625	-26319
3.63	-20527
3.635	-13378
3.64	-5329
3.645	3096
3.65	11341
3.655	18852
3.66	25116
3.665	29698
3.67	32270
3.675	32639
3.68	30759
3.685	26742
3.69	20847
3.695	13472
3.7	5126
3.705	-3608
3.71	-12110
3.715	-19766
3.72	-26017
3.725	-30394
3.73	-32563
3.735	-32345
3.74	-29736
3.745	-24908
3.75	-18204
3.755	-10113
3.76	-1235
3.765	7762
3.77	16190
3.775	23396
3.78	28813
3.785	32003
3.79	32699
3.795	30825
3.8	26509
3.805	20073
3.81	12014
3.815	2968
3.82	-6342
3.825	-15162
3.83	-22766
3.835	-28520
3.84	-31932
3.845	-32702
3.85	-30742
3.855	-26196
3.86	-19426
3.865	-10990
3.87	-1595
3.875	7962
3.88	16857
3.885	24313
3.89	29670
3.895	32442
3.9	32364
3.905	29420
3.91	23851
3.915	16134
3.92	6947
3.925	-2891
3.93	-12492
3.935	-20976
3.94	-27555
3.945	-31609
3.95	-32742
3.955	-30825
3.96	-26017
3.965	-18746
3.97	-9684
3.975	322
3.98	10321
3.985	19354
3.99	26539
3.995	31167
