angle	VV	VH	HV	HH
21	-23.32855585659294	-172.6277715120731	-197.4892407425651	-23.3285558394785
21.1	-23.3284956061213	-172.1795122619804	-196.0597880241289	-23.32849570417196
21.2	-23.32843112785193	-172.2605134990019	-195.7255046372971	-23.32843133100266
21.3	-23.32835760781314	-172.23813925243	-195.3675056848301	-23.32835789629999
21.4	-23.32827763249601	-172.7429662882748	-193.5485277017123	-23.32827798266031
21.5	-23.3281960200504	-176.6697010994397	-195.6297031083869	-23.32819640430787
21.6	-23.32810898985713	-171.8486304555218	-193.792035581385	-23.32810938681913
21.7	-23.32801707029159	-173.1166646843098	-188.1688984815252	-23.32801744058976
21.8	-23.32791918901249	-178.3153681644591	-189.5419876785633	-23.32791954102577
21.9	-23.32781611526597	-178.2225381810304	-190.9497810421365	-23.32781643177027
22	-23.32770469691008	-178.5127947526938	-192.6278363397347	-23.32770495812918
22.1	-23.32758899785055	-172.1909402139594	-191.894911519557	-23.32758917663048
22.2	-23.32746630755634	-178.0571906451957	-190.8943236495242	-23.32746638064867
22.3	-23.32733789030448	-177.3042218503655	-195.6472219742222	-23.32733781843804
22.4	-23.32721681129617	-186.769874360127	-201.4752235324705	-23.32721664047354
22.5	-23.32709644015409	-189.638891733861	-191.110915013969	-23.32709616227827
22.6	-23.32697861567085	-184.4192560174306	-185.2913686438365	-23.3269782648788
22.7	-23.32686376183004	-181.0884745881339	-181.578494102896	-23.32686338746743
22.8	-23.32675465892201	-178.8889495032887	-179.2646419860867	-23.32675430461118
22.9	-23.32665228942337	-176.5283275493001	-176.9155511245173	-23.32665196972554
23	-23.32655403826454	-174.3459950110163	-176.2837492009232	-23.32655378884979
23.1	-23.32646101678291	-173.69629386871	-176.7451680909449	-23.32646085235923
23.2	-23.32636884205967	-174.0024918758916	-177.0160125932979	-23.32636880041034
23.3	-23.32627379733577	-175.1989332543944	-178.3380349793033	-23.32627384832365
23.4	-23.32617221665186	-176.1603811267425	-179.9143410418233	-23.32617234066032
23.5	-23.32607324632254	-178.0494885562467	-180.3950367538893	-23.32607341282359
23.6	-23.32597415397973	-179.9939013967411	-182.6088498950351	-23.32597434988223
23.7	-23.32587333115438	-179.9558391969347	-186.5062211925353	-23.32587353973566
23.8	-23.32576676280654	-181.865610698171	-196.6141870928924	-23.32576696986898
23.9	-23.32565945941911	-186.5527550750955	-193.4494651095316	-23.32565969816583
24	-23.32555149005007	-191.552686493395	-222.7299055745671	-23.32555169450221
24.1	-23.32543910858597	-192.1200270820959	-199.627608491847	-23.32543928982447
24.2	-23.325321099267	-190.4742601627188	-193.8451332326303	-23.32532123800693
24.3	-23.32520386951981	-188.8500727108735	-188.940112926363	-23.32520394226372
24.4	-23.32508789686395	-179.0159829043089	-178.9554879922404	-23.32508790175732
24.5	-23.32496958631197	-195.2719824876353	-194.8688518869687	-23.32496952501611
24.6	-23.32485823216142	-191.148557949387	-192.7695904685771	-23.32485806432619
24.7	-23.32474967355222	-193.5985837176313	-194.9774552652192	-23.32474944456114
24.8	-23.32464315535596	-197.1353196392123	-197.2407107053415	-23.32464285551601
24.9	-23.32454659960581	-195.0844836267816	-196.33863992736	-23.32454626862288
25	-23.32445319492018	-186.8183963645577	-187.1271147088304	-23.32445285932332
25.1	-23.32436121417577	-182.6146976808508	-182.8009627534175	-23.32436088595874
25.2	-23.32427500128025	-180.3151311716762	-180.45548875205	-23.32427471832108
25.3	-23.32419149085253	-176.6176169783452	-176.6528286516817	-23.32419126330985
25.4	-23.32411612457588	-179.2822197481997	-179.3826086536171	-23.32411594979525
25.5	-23.32405120628997	-178.9247846192632	-179.0122073525193	-23.3240510963454
25.6	-23.32399027054539	-179.3797480250455	-179.4614020911634	-23.3239902176912
25.7	-23.32393379226129	-179.3060069907617	-179.3878949844069	-23.32393380743986
25.8	-23.32388064478461	-180.597984729629	-180.7722732539546	-23.32388072699667
25.9	-23.32382679714012	-182.2600766727921	-182.7793593318275	-23.32382692282928
26	-23.32377233081768	-185.2544086305564	-187.0025121548938	-23.32377247566257
26.1	-23.32371515495159	-189.8027245682197	-195.3202465624382	-23.32371531427897
26.2	-23.32366025541079	-190.539309831297	-194.6384702490162	-23.32366046147934
26.3	-23.32360701401456	-207.0558596544354	-204.2570331141171	-23.32360720196719
26.4	-23.32355439455274	-204.2981380031454	-203.1739941271451	-23.3235545710392
26.5	-23.32349844536023	-201.9963233244205	-201.9507084382092	-23.32349859047992
26.6	-23.3234392428125	-201.1029095986772	-200.7239111096413	-23.32343933755696
26.7	-23.32337806273713	-197.4920237823736	-198.6130059227679	-23.32337812300111
26.8	-23.32332197585526	-199.4541922984486	-200.4463552552154	-23.32332197803811
26.9	-23.32326872255003	-189.0072819347432	-202.7431124637821	-23.32326864099755
27	-23.32322507830004	-188.9134950628712	-193.8493988329927	-23.32322496359129
27.1	-23.32318350538249	-189.5209278302493	-195.3014859934275	-23.3231833143236
27.2	-23.32315209573643	-189.4458266386954	-189.2713661467539	-23.32315193192299
27.3	-23.32312268075559	-187.3849786032414	-187.9332815183872	-23.3231225024502
27.4	-23.32310113957994	-185.4788474323189	-185.4693747741326	-23.32310096360633
27.5	-23.32308241469391	-183.5343305863965	-183.5062131253514	-23.32308223925738
27.6	-23.32306844126769	-182.9664704014336	-183.2757046363582	-23.32306825537312
27.7	-23.32305995162445	-183.234685863118	-183.9775436641565	-23.32305977628412
27.8	-23.32305237611831	-183.6306863979389	-184.9334658075264	-23.32305220045494
27.9	-23.32305454968622	-180.8882948757454	-180.6847226594724	-23.3230544468252
28	-23.32306524048837	-181.1825591315007	-180.9503430487888	-23.32306516919629
28.1	-23.32308274348213	-181.1863881207322	-181.2209335737063	-23.32308271085758
28.2	-23.32310070661312	-182.7193732389837	-182.6980499361813	-23.32310070959242
28.3	-23.32311824306959	-186.355007140105	-186.273740925431	-23.32311828129351
28.4	-23.32313547987467	-192.3590820662506	-191.7447844778406	-23.32313553161278
28.5	-23.32315410283387	-194.5991627560167	-193.4931782736581	-23.32315420160586
28.6	-23.32317637291829	-201.5197236243411	-197.7659744126755	-23.32317647017597
28.7	-23.32320894743249	-206.2036265054772	-199.6797444123205	-23.3232090431872
28.8	-23.32323918924049	-205.0576426203508	-198.9303927970903	-23.32323927173181
28.9	-23.32327098549964	-196.2186295359493	-196.7922222689249	-23.32327105425506
29	-23.32330313384137	-197.4259327824529	-196.6354989708973	-23.32330319711276
29.1	-23.3233346165094	-202.5591940992881	-199.2366941267031	-23.32333464076574
29.2	-23.32337502796424	-182.5376597319294	-199.2975902139907	-23.323374980363
29.3	-23.32342115527185	-182.3212126871547	-199.3006422539273	-23.32342110571784
29.4	-23.32346457335051	-180.7994838794809	-198.9413153024189	-23.32346448160505
29.5	-23.32351700546833	-193.8976141372534	-197.4307994672643	-23.32351688619005
29.6	-23.32357408572244	-190.1657594125675	-191.6591928215508	-23.32357397071398
29.7	-23.32362901003238	-191.2778176793818	-189.7298773508868	-23.32362886531207
29.8	-23.32368901799824	-185.1875116142677	-185.3538176018641	-23.32368888137511
29.9	-23.32375282189574	-177.5993895267558	-183.1100520203023	-23.32375272198142
30	-23.32381626047076	-172.6959179276983	-179.5420080338754	-23.32381617172951
30.1	-23.3238820764423	-175.0942647481785	-182.0846126307858	-23.323881999159
30.2	-23.32394688634052	-174.4302088457565	-181.0779265819454	-23.32394686673896
30.3	-23.32401639646901	-169.2827230745901	-180.6535229334042	-23.3240163927759
30.4	-23.32409502936209	-169.8275133210697	-184.3768578036435	-23.32409505505223
30.5	-23.32417860748557	-178.1485953961192	-185.4033663199257	-23.32417867158552
30.6	-23.32426628160773	-185.571412868943	-176.6018343501517	-23.32426637116289
30.7	-23.3243585314868	-183.8317617080646	-183.611742214444	-23.32435861288633
30.8	-23.3244536588822	-177.7274214073806	-183.9451160143271	-23.32445377183378
30.9	-23.32454657276282	-172.6560195152286	-184.8605728342556	-23.32454667585891
31	-23.32464135255456	-171.3162921496665	-187.2221435506769	-23.32464142467242
31.1	-23.32473674728909	-171.155911498009	-192.9276001386079	-23.32473681011777
31.2	-23.32482708980393	-170.8109162162521	-198.9509365326366	-23.32482712391913
31.3	-23.32491621101362	-171.1349865727216	-192.7253495497272	-23.32491623377489
31.4	-23.3250011873999	-170.9103306384918	-187.9683947844514	-23.3250011729914
31.5	-23.32508234188941	-175.2479660151898	-184.8914631744976	-23.32508223310871
31.6	-23.32516878578863	-183.329453769834	-185.9879389454679	-23.32516871938225
31.7	-23.32525523547798	-183.5202223515391	-186.7716286455102	-23.32525515265551
31.8	-23.32533599067851	-183.8302665441458	-187.6380959806721	-23.3253358725334
31.9	-23.32542046075537	-175.1449323707263	-190.6102574322777	-23.32542032665811
32	-23.325504688522	-175.0541664535381	-193.7489458180211	-23.32550454905696
32.1	-23.32558424083841	-171.7985839340645	-197.074617467468	-23.32558410942184
32.2	-23.32566546099816	-170.7192275150122	-193.1253665621684	-23.32566530746426
32.3	-23.3257465942698	-177.3130980174319	-189.717816891669	-23.32574646555085
32.4	-23.32583085284314	-186.4871803622539	-189.2630058983198	-23.32583075318457
32.5	-23.32591360229457	-179.5228826092696	-189.8095595461773	-23.32591349916357
32.6	-23.32599878211585	-181.2187139058175	-184.3607204521262	-23.32599873745645
32.7	-23.32608580241074	-181.1433543937115	-184.0413798861069	-23.32608576242149
32.8	-23.32617085183455	-180.4211126263362	-175.0657770079454	-23.32617083475558
32.9	-23.32626104510622	-174.3644411194734	-185.4783454103651	-23.32626104299474
33	-23.32634672542497	-189.6514140533153	-189.51482218571	-23.32634674870636
33.1	-23.32643048562964	-186.6194667582627	-188.6725352199111	-23.32643054814049
33.2	-23.32651690308775	-188.2872752910689	-194.5373233530455	-23.32651698069304
33.3	-23.32660285639395	-176.7496194901253	-200.5003219055083	-23.32660293462975
33.4	-23.32668454577481	-183.2817777278324	-198.6759972525779	-23.32668462550588
33.5	-23.32676480320756	-180.958419318256	-197.8131496617484	-23.32676486222132
33.6	-23.32684229453566	-181.1088670554453	-199.0077357924508	-23.32684234959713
33.7	-23.32691270792765	-173.5820374492451	-202.9052278043383	-23.3269127488709
33.8	-23.32697884684308	-173.533704737141	-195.9682749898313	-23.32697885143503
33.9	-23.32704341526753	-190.2980768233917	-192.0337949756302	-23.32704339970967
34	-23.32710816418861	-181.4922476292675	-194.3884238621838	-23.32710815166484
34.1	-23.32716699160418	-181.6714532890579	-195.7103283830817	-23.32716695586552
34.2	-23.32722086061315	-198.5779481657953	-199.1807812904986	-23.32722078066351
34.3	-23.3272721263182	-190.5387054923527	-197.5462570925362	-23.32727204196459
34.4	-23.32732051682655	-185.9374678313196	-203.3109524572691	-23.32732042848044
34.5	-23.32737239241188	-174.0710759441875	-201.5013534176757	-23.32737230138804
34.6	-23.32742139408502	-175.3803247436184	-197.3407018187457	-23.32742132375002
34.7	-23.32746803154834	-185.6300144988192	-205.4871944578045	-23.32746796516705
34.8	-23.32751372452595	-199.7620616359367	-201.4416069978537	-23.32751368525431
34.9	-23.32755498803046	-200.0499003630889	-202.1466297737277	-23.32755497054604
35	-23.32758823887753	-183.1184795161405	-198.0422589263388	-23.32758821296835
